Sample_ID,F1,F2,F3,AX,AY,AZ,GX,GY,GZ,Command
1,0,3569,0,-3292,7620,12768,-150,-985,95,HELP
2,0,3472,0,-3704,8484,13688,-1679,970,244,HELP
3,0,3469,0,-3648,7908,13664,-343,-4,62,HELP
4,0,3445,0,-3484,7932,13796,629,-6,124,HELP
5,0,3421,0,-3432,7832,13540,212,324,106,HELP
6,0,3404,0,-3624,8136,13420,-23,-120,200,HELP
7,0,3351,0,-3236,8036,13616,-427,-54,152,HELP
8,0,3363,0,-3344,7592,13932,111,148,62,HELP
9,0,3444,0,-3152,7840,13760,15,-26,148,HELP
10,0,3472,0,-3596,7904,13452,-170,-105,162,HELP
11,0,3459,0,-3300,7808,13588,-63,233,-132,HELP
12,0,3483,0,-3524,7880,13636,-216,-13,-48,HELP
13,0,3515,0,-3288,8008,13668,-235,-215,179,HELP
14,0,3473,0,-3552,7860,14032,10,624,122,HELP
15,0,3495,0,-3172,7732,13628,-95,-30,87,HELP
16,0,3491,0,-3316,7884,13756,-201,-12,68,HELP
17,0,3487,0,-3264,7884,13772,64,117,225,HELP
18,0,3472,0,-3248,7764,13828,-5,115,13,HELP
19,0,3479,0,-3268,7864,13736,-117,-104,171,HELP
20,0,3475,0,-3200,7828,13720,1,415,81,HELP
21,0,3472,0,-3444,7844,13792,-195,12,88,HELP
22,0,3474,0,-3072,7744,13656,-48,174,137,HELP
23,0,3475,0,-3172,7732,13744,26,138,-35,HELP
24,0,3443,0,-3240,7672,13900,385,19,184,HELP
25,0,3472,0,-3300,7800,13700,10,400,80,HELP
26,3409,0,0,-1340,-2040,16292,629,119,138,HELLO
27,3402,0,0,-1252,-1644,16300,-159,123,-17,HELLO
28,3402,0,0,-1144,-1500,16372,214,91,86,HELLO
29,3408,0,0,-1172,-1440,16168,140,69,74,HELLO
30,3406,0,0,-1140,-1564,16416,87,142,50,HELLO
31,3408,0,0,-1140,-1452,16328,93,100,60,HELLO
32,3408,0,0,-1140,-1436,16448,121,68,71,HELLO
33,3414,0,0,-1128,-1340,16320,-1,100,11,HELLO
34,3421,0,0,-1132,-1344,16372,-55,3,156,HELLO
35,3413,0,0,-1048,-1424,16452,-114,-86,53,HELLO
36,3425,0,0,-1128,-1468,16440,62,197,99,HELLO
37,3415,0,0,-1108,-1280,16308,-60,-32,132,HELLO
38,3417,0,0,-1168,-1352,16360,-1,98,18,HELLO
39,3421,0,0,-1100,-1356,16364,118,15,78,HELLO
40,3417,0,0,-1148,-1248,16184,-47,41,56,HELLO
41,3403,0,0,-1088,-1420,16312,-4,151,32,HELLO
42,3339,0,0,-4228,2540,15360,337,643,-1142,HELLO
43,3355,0,0,-4200,2996,15400,287,138,40,HELLO
44,3361,0,0,-4152,3168,15216,193,31,-7,HELLO
45,3370,0,0,-3936,3148,15440,127,-29,191,HELLO
46,3371,0,0,-4020,3284,15232,4,-123,111,HELLO
47,3408,0,0,-4284,3320,15176,-39,108,33,HELLO
48,3401,0,0,-4148,3168,15236,11,9,126,HELLO
49,3403,0,0,-4148,3500,15228,-149,85,271,HELLO
50,3410,0,0,-4200,3000,15300,50,50,100,HELLO
51,0,0,2749,328,8152,14200,-71,129,-12,WATER
52,0,0,2749,472,8168,14180,-28,38,87,WATER
53,0,0,2752,536,8144,14096,-3,-49,308,WATER
54,0,0,2751,504,8068,14100,72,586,-509,WATER
55,0,0,2743,788,8428,14092,283,-331,581,WATER
56,0,0,2715,672,8052,13360,133,265,-146,WATER
57,0,0,2706,284,8632,13776,108,548,-774,WATER
58,0,0,2724,248,8416,13480,5,-787,82,WATER
59,0,0,2723,516,9012,14440,318,-96,345,WATER
60,0,0,2713,468,8720,13756,72,337,130,WATER
61,0,0,2718,272,8648,13396,-471,706,-268,WATER
62,0,0,2724,704,8740,13756,-77,159,277,WATER
63,0,0,2730,304,8764,13864,-101,261,-247,WATER
64,0,0,2735,136,8780,13860,148,122,180,WATER
65,0,0,2723,348,8876,13812,66,63,197,WATER
66,0,0,2724,440,8688,13496,-250,12,-167,WATER
67,0,0,2729,464,8780,13812,-72,115,-156,WATER
68,0,0,2715,516,8892,13844,-31,70,72,WATER
69,0,0,2703,612,8664,13876,151,87,89,WATER
70,0,0,2688,708,8864,13864,2,95,-38,WATER
71,0,0,2699,628,8832,13848,-6,103,70,WATER
